_source_file,action,calendar_size,calendar_size_after,calendar_size_sent,duplicates_ignored,event,final_sync,lamport,lamport_after,lamport_before,left_neighbor,message_id,message_lamport,message_vector,new_events_added,node_id,port,received_event_count,received_lamport,received_vector,receiver_node,right_neighbor,scheduled_delay_seconds,sender_node,state_hash,state_hash_after,state_hash_sent,vector,vector_after,vector_before,wall_time_utc
node-0.jsonl,NODE_START,,,,,,,,,,9,,,,,0,8000,,,,,1,,,,,,,,,2026-09-13T14:06:59.286Z
node-1.jsonl,NODE_START,,,,,,,,,,0,,,,,1,8000,,,,,2,,,,,,,,,2026-09-13T14:06:59.531Z
node-9.jsonl,NODE_START,,,,,,,,,,8,,,,,9,8000,,,,,0,,,,,,,,,2026-09-13T14:06:59.902Z
node-2.jsonl,NODE_START,,,,,,,,,,1,,,,,2,8000,,,,,3,,,,,,,,,2026-09-13T14:07:00.330Z
node-3.jsonl,NODE_START,,,,,,,,,,2,,,,,3,8000,,,,,4,,,,,,,,,2026-09-13T14:07:00.570Z
node-8.jsonl,NODE_START,,,,,,,,,,7,,,,,8,8000,,,,,9,,,,,,,,,2026-09-13T14:07:00.762Z
node-7.jsonl,NODE_START,,,,,,,,,,6,,,,,7,8000,,,,,8,,,,,,,,,2026-09-13T14:07:00.937Z
node-5.jsonl,NODE_START,,,,,,,,,,4,,,,,5,8000,,,,,6,,,,,,,,,2026-09-13T14:07:01.181Z
node-4.jsonl,NODE_START,,,,,,,,,,3,,,,,4,8000,,,,,5,,,,,,,,,2026-09-13T14:07:01.382Z
node-6.jsonl,NODE_START,,,,,,,,,,5,,,,,6,8000,,,,,7,,,,,,,,,2026-09-13T14:07:01.606Z
node-1.jsonl,LOCAL_SCHEDULE,,1,,,"{""creator_node"": 1, ""end_time"": ""14:00"", ""event_id"": ""N01-E01"", ""event_number"": 1, ""lamport_timestamp"": 1, ""simulation_date"": ""2030-10-01"", ""start_time"": ""13:40"", ""title"": ""Node 1 Event 1"", ""vector_timestamp"": [0, 1, 0, 0, 0, 0, 0, 0, 0, 0]}",,,1,,,,,,,1,,,,,,,34,,,32fba6288b88217f706913df55a7a22c33a3a409d97bf27766ae7ebd93f3ac62,,,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",,2026-09-13T14:07:33.580Z
node-1.jsonl,SEND_STATE,,,1,,,,,,,,N01-M0001,2,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",,1,,,,,0,,,,,,32fba6288b88217f706913df55a7a22c33a3a409d97bf27766ae7ebd93f3ac62,,,,2026-09-13T14:07:33.581Z
node-0.jsonl,RECEIVE_STATE,,1,,0,,False,,3,0,,N01-M0001,,,1,0,,1,2,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",,,,1,,32fba6288b88217f706913df55a7a22c33a3a409d97bf27766ae7ebd93f3ac62,,,"[1, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2026-09-13T14:07:33.601Z
node-1.jsonl,SEND_STATE,,,1,,,,,,,,N01-M0002,3,"[0, 3, 0, 0, 0, 0, 0, 0, 0, 0]",,1,,,,,2,,,,,,32fba6288b88217f706913df55a7a22c33a3a409d97bf27766ae7ebd93f3ac62,,,,2026-09-13T14:07:33.602Z
node-2.jsonl,RECEIVE_STATE,,1,,0,,False,,4,0,,N01-M0002,,,1,2,,1,3,"[0, 3, 0, 0, 0, 0, 0, 0, 0, 0]",,,,1,,32fba6288b88217f706913df55a7a22c33a3a409d97bf27766ae7ebd93f3ac62,,,"[0, 3, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2026-09-13T14:07:33.604Z
node-4.jsonl,LOCAL_SCHEDULE,,1,,,"{""creator_node"": 4, ""end_time"": ""16:00"", ""event_id"": ""N04-E01"", ""event_number"": 1, ""lamport_timestamp"": 1, ""simulation_date"": ""2030-10-01"", ""start_time"": ""15:40"", ""title"": ""Node 4 Event 1"", ""vector_timestamp"": [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]}",,,1,,,,,,,4,,,,,,,46,,,5bf9d1bc6c3253bcc83329c7de254dc4969f71b5c4c86042ab5bf43971a115c9,,,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",,2026-09-13T14:07:47.420Z
node-4.jsonl,SEND_STATE,,,1,,,,,,,,N04-M0001,2,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",,4,,,,,3,,,,,,5bf9d1bc6c3253bcc83329c7de254dc4969f71b5c4c86042ab5bf43971a115c9,,,,2026-09-13T14:07:47.421Z
node-3.jsonl,RECEIVE_STATE,,1,,0,,False,,3,0,,N04-M0001,,,1,3,,1,2,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",,,,4,,5bf9d1bc6c3253bcc83329c7de254dc4969f71b5c4c86042ab5bf43971a115c9,,,"[0, 0, 0, 1, 2, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2026-09-13T14:07:47.440Z
node-4.jsonl,SEND_STATE,,,1,,,,,,,,N04-M0002,3,"[0, 0, 0, 0, 3, 0, 0, 0, 0, 0]",,4,,,,,5,,,,,,5bf9d1bc6c3253bcc83329c7de254dc4969f71b5c4c86042ab5bf43971a115c9,,,,2026-09-13T14:07:47.441Z
node-5.jsonl,RECEIVE_STATE,,1,,0,,False,,4,0,,N04-M0002,,,1,5,,1,3,"[0, 0, 0, 0, 3, 0, 0, 0, 0, 0]",,,,4,,5bf9d1bc6c3253bcc83329c7de254dc4969f71b5c4c86042ab5bf43971a115c9,,,"[0, 0, 0, 0, 3, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2026-09-13T14:07:47.444Z
node-9.jsonl,LOCAL_SCHEDULE,,1,,,"{""creator_node"": 9, ""end_time"": ""17:00"", ""event_id"": ""N09-E01"", ""event_number"": 1, ""lamport_timestamp"": 1, ""simulation_date"": ""2030-10-01"", ""start_time"": ""16:40"", ""title"": ""Node 9 Event 1"", ""vector_timestamp"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]}",,,1,,,,,,,9,,,,,,,52,,,e16ce961536a4ad7675cf29737143c54d0dc0c7265347215cc2d9cb7e2e71773,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",,2026-09-13T14:07:51.955Z
node-9.jsonl,SEND_STATE,,,1,,,,,,,,N09-M0001,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",,9,,,,,8,,,,,,e16ce961536a4ad7675cf29737143c54d0dc0c7265347215cc2d9cb7e2e71773,,,,2026-09-13T14:07:51.955Z
node-8.jsonl,RECEIVE_STATE,,1,,0,,False,,3,0,,N09-M0001,,,1,8,,1,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",,,,9,,e16ce961536a4ad7675cf29737143c54d0dc0c7265347215cc2d9cb7e2e71773,,,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2026-09-13T14:07:51.971Z
